Document Name (Missing from Pinecone),In Catalog,Catalog Name (if different)
"Agent Deployment Tracker",No,"N/A"
"CommerceIQ-AllyAI-Content-Agent-OnePager.pdf",Yes,"AllyAI Content Agent"
"CommerceIQ Pro-Cat: A global content management tool",No,"N/A"
"Command Center talktrack",No,"N/A"
"CommerceIQ Copilot for Amazon - Datasheet July 25",Yes,"CommerceIQ Copilot for Amazon - Product Box August 25 Internal"
"CommerceIQ Copilot for Amazon - Pricing August 25 Internal",Yes,"AllyAI Teammate I S&S Dashboard Example Generic "
"AllyAI-Sales-Teammate Datasheet July 25",Yes,"AllyAI Sales Teammate"
"RMM Datasheet July 25",No,"N/A"
"DSO_OnePager_Jul25.PDF",No,"N/A"
"AI Goal Optimizer Media Teammate Sell Sheet June 2025",Yes,"AllyAI Teammate I S&S Dashboard Example Generic "
"ExpertIQ-Datasheet.pdf",No,"N/A"
"Ally Teammate I Training v2",Yes,"AllyAI Teammate I S&S Dashboard Example Generic "
"DSO_Product Box_v2.1_Jul2025_INTERNAL",Yes,"DSO Product Description_v2.1_Jul2025_INTERNAL"
"RMM Pricing Calculator August 25 Internal",No,"N/A"
"Buyer Personas - v2_7.20.22.pptx",Yes,"7"
